TransactionID,CustomerOccupation,TransactionType,Average_CustomerAge,sum_transaction
TX000001,Doctor,Debit,70.0000,14.09
TX000002,Doctor,Debit,68.0000,376.24
TX000003,Student,Debit,19.0000,126.29
TX000004,Student,Debit,26.0000,184.5
TX000005,Student,Credit,26.0000,13.45
TX000006,Student,Debit,18.0000,92.15
TX000007,Doctor,Credit,37.0000,7.08
TX000008,Retired,Credit,67.0000,171.42
TX000009,Engineer,Credit,51.0000,106.23
TX000010,Doctor,Debit,55.0000,815.96
TX000011,Engineer,Credit,52.0000,17.78
TX000012,Student,Debit,21.0000,190.02
TX000013,Student,Credit,24.0000,494.52
TX000014,Student,Debit,26.0000,781.76
TX000015,Student,Debit,18.0000,166.99
TX000016,Engineer,Debit,36.0000,465.45
TX000017,Student,Credit,19.0000,555.8
TX000018,Engineer,Debit,39.0000,492.93
TX000019,Retired,Credit,59.0000,18.68
TX000020,Student,Credit,18.0000,71.48
TX000021,Retired,Debit,71.0000,59.32
TX000022,Doctor,Debit,38.0000,85.77
TX000023,Engineer,Debit,39.0000,52.2
TX000024,Student,Debit,22.0000,345.84
TX000025,Student,Debit,21.0000,145.54
TX000026,Retired,Credit,65.0000,7.49
TX000027,Student,Debit,23.0000,246.93
TX000028,Engineer,Debit,37.0000,40.32
TX000029,Doctor,Debit,44.0000,127.45
TX000030,Student,Debit,27.0000,56.17
TX000031,Doctor,Credit,59.0000,28.31
TX000032,Doctor,Debit,29.0000,59.12
TX000033,Engineer,Debit,49.0000,396.45
TX000034,Student,Debit,22.0000,877.81
TX000035,Doctor,Credit,45.0000,255.26
TX000036,Engineer,Debit,49.0000,124.76
TX000037,Student,Debit,26.0000,78.13
TX000038,Retired,Debit,75.0000,649.28
TX000039,Doctor,Debit,66.0000,795.31
TX000040,Retired,Debit,55.0000,335.63
TX000041,Retired,Debit,63.0000,328.47
TX000042,Doctor,Debit,38.0000,34.02
TX000043,Doctor,Credit,57.0000,241.42
TX000044,Student,Debit,19.0000,55.32
TX000045,Student,Debit,27.0000,304.31
TX000046,Retired,Debit,74.0000,435.27
TX000047,Student,Debit,26.0000,164.49
TX000048,Student,Debit,19.0000,510.24
TX000049,Student,Debit,26.0000,626.9
TX000050,Engineer,Credit,41.0000,22.01
TX000051,Retired,Credit,69.0000,425.34
TX000052,Engineer,Debit,51.0000,424.56
TX000053,Doctor,Debit,67.0000,85.43
TX000054,Student,Debit,28.0000,169.5
TX000055,Retired,Debit,62.0000,104.63
TX000056,Student,Debit,25.0000,316.95
TX000057,Retired,Credit,57.0000,60.54
TX000058,Retired,Credit,68.0000,292.56
TX000059,Engineer,Debit,48.0000,386.52
TX000060,Student,Debit,23.0000,112.07
TX000061,Engineer,Debit,46.0000,568.52
TX000062,Retired,Debit,79.0000,263.99
TX000063,Engineer,Debit,48.0000,349.64
TX000064,Engineer,Credit,56.0000,601.4
TX000065,Doctor,Debit,50.0000,5.77
TX000066,Engineer,Credit,42.0000,201.33
TX000067,Retired,Debit,56.0000,298.42
TX000068,Student,Debit,25.0000,521.06
TX000069,Engineer,Credit,60.0000,117.28
TX000070,Engineer,Credit,32.0000,189.12
TX000071,Engineer,Debit,44.0000,133.55
TX000072,Engineer,Debit,35.0000,143.21
TX000073,Retired,Debit,62.0000,24.77
TX000074,Student,Credit,26.0000,233.92
TX000075,Student,Debit,20.0000,1212.51
TX000076,Engineer,Debit,37.0000,232.12
TX000077,Student,Debit,22.0000,162.63
TX000078,Doctor,Debit,44.0000,91.53
TX000079,Student,Debit,19.0000,120.29
TX000080,Doctor,Debit,50.0000,174.25
